#Release 11.4 - par L.68 (lin64)
#Copyright (c) 1995-2009 Xilinx, Inc.  All rights reserved.

#Tue Dec 13 16:35:39 2011

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       system_map.ncd
#OUTPUT FILE:      system_pad.csv
#PART TYPE:        xc6vsx475t
#SPEED GRADE:      -1
#PACKAGE:          ff1759
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AD4,,IPAD,MGTRXN3_113,UNUSED,,,,,,,,,,,
AD5,,,GND,,,,,,,,,,,,
AD6,,,GND,,,,,,,,,,,,
AD7,,IPAD,MGTREFCLK1N_113,UNUSED,,,,,,,,,,,
AD8,,IPAD,MGTREFCLK1P_113,UNUSED,,,,,,,,,,,
AD9,,,GND,,,,,,,,,,,,
AD10,,,GND,,,,,,,,,,,,
AD11,,,VCCAUX,,,,,,,,2.5,,,,
AD12,,,GND,,,,,,,,,,,,
AD13,,,VCCINT,,,,,,,,1.2,,,,
AD14,,,GND,,,,,,,,,,,,
AD15,,,VCCINT,,,,,,,,1.2,,,,
AD16,,,GND,,,,,,,,,,,,
AD17,,,VCCINT,,,,,,,,1.2,,,,
AD18,,,GND,,,,,,,,,,,,
AD19,,,VCCINT,,,,,,,,1.2,,,,
AD20,,,GND,,,,,,,,,,,,
AD21,,,VCCINT,,,,,,,,1.2,,,,
AD22,,,GND,,,,,,,,,,,,
AD23,,,VCCINT,,,,,,,,1.2,,,,
AD24,,,GND,,,,,,,,,,,,
AD25,,,VCCINT,,,,,,,,1.2,,,,
AD26,,,GND,,,,,,,,,,,,
AD27,,,VCCINT,,,,,,,,1.2,,,,
AD28,,,GND,,,,,,,,,,,,
AD29,,,VCCAUX,,,,,,,,2.5,,,,
AD30,epb_addr<22>,IOB,IO_L19N_24,INPUT,LVCMOS25*,24,,,,NONE,,LOCATED,YES,NONE,
AD31,epb_addr<26>,IOB,IO_L19P_24,INPUT,LVCMOS25*,24,,,,NONE,,LOCATED,YES,NONE,
AD32,,IOBM,IO_L9P_MRCC_15,UNUSED,,15,,,,,,,,,
AD33,,IOBS,IO_L2N_SM8N_15,UNUSED,,15,,,,,,,,,
